0.95	0.95	0	1	dummy
0.45	0.45	1	0	dummy
1.4	1.4	0	1	dummy
1.6	1.6	1	0	dummy
0.0	0.0	0	1	dummy
1.65	1.65	1	0	dummy
0.15	0.15	0	1	dummy
1.8	1.8	1	0	dummy
1.3	1.3	0	1	dummy
0.55	0.55	1	0	dummy
1.35	1.35	0	1	dummy
0.65	0.65	1	0	dummy
0.65	0.65	0	1	dummy
0.3	0.3	1	0	dummy
0.4	0.4	0	1	dummy
0.65	0.65	1	0	dummy
0.9	0.9	0	1	dummy
0.75	0.75	1	0	dummy
0.7	0.7	0	1	dummy
1.25	1.25	1	0	dummy
1.5	1.5	0	1	dummy
1.45	1.45	1	0	dummy
0.75	0.75	0	1	dummy
1.85	1.85	1	0	dummy
1.4	1.4	0	1	dummy
1.4	1.4	1	0	dummy
1.55	1.55	0	1	dummy
1.75	1.75	1	0	dummy
0.85	0.85	0	1	dummy
1.95	1.95	1	0	dummy
0.35	0.35	0	1	dummy
0.6	0.6	1	0	dummy
0.75	0.75	0	1	dummy
1.65	1.65	1	0	dummy
0.35	0.35	0	1	dummy
0.95	0.95	1	0	dummy
1.0	1.0	0	1	dummy
2.0	2.0	1	0	dummy
0.85	0.85	0	1	dummy
0.35	0.35	1	0	dummy
0.0	0.0	0	1	dummy
1.8	1.8	1	0	dummy
0.05	0.05	0	1	dummy
1.8	1.8	1	0	dummy
0.8	0.8	0	1	dummy
1.65	1.65	1	0	dummy
1.9	1.9	0	1	dummy
1.65	1.65	1	0	dummy
0.55	0.55	0	1	dummy
1.1	1.1	1	0	dummy
0.4	0.4	0	1	dummy
0.6	0.6	1	0	dummy
0.35	0.35	0	1	dummy
0.0	0.0	1	0	dummy
0.05	0.05	0	1	dummy
1.45	1.45	1	0	dummy
0.55	0.55	0	1	dummy
1.55	1.55	1	0	dummy
1.75	1.75	0	1	dummy
1.15	1.15	1	0	dummy
2.0	2.0	0	1	dummy
0.2	0.2	1	0	dummy
0.15	0.15	0	1	dummy
0.2	0.2	1	0	dummy
0.5	0.5	0	1	dummy
1.45	1.45	1	0	dummy
1.95	1.95	0	1	dummy
0.8	0.8	1	0	dummy
0.45	0.45	0	1	dummy
0.65	0.65	1	0	dummy
0.45	0.45	0	1	dummy
1.1	1.1	1	0	dummy
1.5	1.5	0	1	dummy
0.1	0.1	1	0	dummy
1.15	1.15	0	1	dummy
0.65	0.65	1	0	dummy
0.05	0.05	0	1	dummy
1.05	1.05	1	0	dummy
0.7	0.7	0	1	dummy
0.5	0.5	1	0	dummy
0.85	0.85	0	1	dummy
0.25	0.25	1	0	dummy
1.65	1.65	0	1	dummy
0.95	0.95	1	0	dummy
0.0	0.0	0	1	dummy
1.15	1.15	1	0	dummy
1.9	1.9	0	1	dummy
0.35	0.35	1	0	dummy
0.35	0.35	0	1	dummy
1.6	1.6	1	0	dummy
1.55	1.55	0	1	dummy
0.8	0.8	1	0	dummy
1.55	1.55	0	1	dummy
1.45	1.45	1	0	dummy
0.35	0.35	0	1	dummy
0.1	0.1	1	0	dummy
0.05	0.05	0	1	dummy
1.65	1.65	1	0	dummy
0.8	0.8	0	1	dummy
1.35	1.35	1	0	dummy
1.95	1.95	0	1	dummy
0.1	0.1	1	0	dummy
0.3	0.3	0	1	dummy
1.55	1.55	1	0	dummy
0.2	0.2	0	1	dummy
1.55	1.55	1	0	dummy
0.7	0.7	0	1	dummy
0.0	0.0	1	0	dummy
1.9	1.9	0	1	dummy
1.3	1.3	1	0	dummy
0.55	0.55	0	1	dummy
1.35	1.35	1	0	dummy
0.4	0.4	0	1	dummy
1.25	1.25	1	0	dummy
1.2	1.2	0	1	dummy
0.5	0.5	1	0	dummy
1.75	1.75	0	1	dummy
0.7	0.7	1	0	dummy
1.95	1.95	0	1	dummy
0.4	0.4	1	0	dummy
0.4	0.4	0	1	dummy
1.15	1.15	1	0	dummy
1.35	1.35	0	1	dummy
0.75	0.75	1	0	dummy
1.6	1.6	0	1	dummy
1.05	1.05	1	0	dummy
1.95	1.95	0	1	dummy
0.95	0.95	1	0	dummy
1.6	1.6	0	1	dummy
0.2	0.2	1	0	dummy
0.65	0.65	0	1	dummy
0.85	0.85	1	0	dummy
1.1	1.1	0	1	dummy
1.5	1.5	1	0	dummy
1.45	1.45	0	1	dummy
1.0	1.0	1	0	dummy
0.45	0.45	0	1	dummy
1.9	1.9	1	0	dummy
1.1	1.1	0	1	dummy
1.5	1.5	1	0	dummy
0.5	0.5	0	1	dummy
1.9	1.9	1	0	dummy
0.3	0.3	0	1	dummy
0.6	0.6	1	0	dummy
2.0	2.0	0	1	dummy
2.0	2.0	1	0	dummy
0.65	0.65	0	1	dummy
0.2	0.2	1	0	dummy
2.0	2.0	0	1	dummy
0.6	0.6	1	0	dummy
1.5	1.5	0	1	dummy
0.4	0.4	1	0	dummy
0.7	0.7	0	1	dummy
1.75	1.75	1	0	dummy
1.9	1.9	0	1	dummy
0.45	0.45	1	0	dummy
1.1	1.1	0	1	dummy
0.85	0.85	1	0	dummy
0.0	0.0	0	1	dummy
1.85	1.85	1	0	dummy
1.85	1.85	0	1	dummy
0.55	0.55	1	0	dummy
1.6	1.6	0	1	dummy
1.25	1.25	1	0	dummy
0.85	0.85	0	1	dummy
0.15	0.15	1	0	dummy
1.1	1.1	0	1	dummy
0.0	0.0	1	0	dummy
1.95	1.95	0	1	dummy
1.1	1.1	1	0	dummy
0.0	0.0	0	1	dummy
1.85	1.85	1	0	dummy
0.5	0.5	0	1	dummy
1.15	1.15	1	0	dummy
0.8	0.8	0	1	dummy
1.0	1.0	1	0	dummy
0.95	0.95	0	1	dummy
0.2	0.2	1	0	dummy
1.6	1.6	0	1	dummy
0.0	0.0	1	0	dummy
1.9	1.9	0	1	dummy
1.4	1.4	1	0	dummy
0.15	0.15	0	1	dummy
1.6	1.6	1	0	dummy
0.85	0.85	0	1	dummy
0.75	0.75	1	0	dummy
0.55	0.55	0	1	dummy
0.95	0.95	1	0	dummy
0.15	0.15	0	1	dummy
1.5	1.5	1	0	dummy
1.9	1.9	0	1	dummy
0.15	0.15	1	0	dummy
1.85	1.85	0	1	dummy
1.15	1.15	1	0	dummy
1.4	1.4	0	1	dummy
